feat	codeword	expressed
VCAN	00000000010111	1
PRRC2B	00000010000111	1
SON	00100000010011	1
SLC7A11	00100000010110	1
GPR107	00000000001111	1
KIAA1462	00100000000111	1
ROCK2	10000000010110	1
SPTBN1	00010000010110	1
FLNC	00000001010101	1
PRPF8	00000010010011	1
IGF2R	00000100000111	1
FOSB	00010000000111	1
UBR5	00000001010011	1
SVEP1	01000000010110	1
CBX5	00010000010101	1
PDS5A	00000000110110	1
NUMA1	00000001000111	1
PLXNA1	01000000010011	1
ALPK2	00000000011110	1
AFAP1	00000100010011	1
SPTAN1	00000010010110	1
DOCK7	00001000010110	1
NOTCH2	10000000000111	1
DYNC1H1	00001000000111	1
ITGA2	00010000010011	1
PRKDC	00000100010110	1
GTF3C1	00000000011101	1
THSD4	10000000010101	1
PTPN14	01000000000111	1
LUZP1	10000000010011	1
AMOTL1	00001000010011	1
MAN1A2	01000000010101	1
USP9X	00001000010101	1
CREBBP	00000000110101	1
KPNA4	00000001010110	1
EGFR	00000010010101	1
ZC3H13	00000100010101	1
TNRC6A	00000000011011	1
TPR	00000000100111	1
COL7A1	00100000010101	1
ASCC3	00000000110011	1
USP34	00000101010010	1
CENPF	00000010100011	1
KIDINS220	00100000001101	1
SCUBE3	00000100100101	1
NRIP1	00100000001011	1
NUP98	10000000100110	1
ZFC3H1	01000010010100	1
FAM208B	00010100000101	1
RAB3B	00000101010001	1
AFF4	00000001110100	1
PRKCA	00100000011010	1
FLNB	01000010000101	1
CHD8	10001000000110	1
ANKRD52	10000000110100	1
MKI67	10010000010100	1
DIP2C	00100000110001	1
SSH1	00000000111100	1
DNAJC13	00000011000011	1
B4GALT5	00100001000110	1
NAV1	00101000010001	1
EHMT1	10000000011100	1
CHD6	11000000010010	1
RAPGEF1	00000001001110	1
DSEL	00001100000110	1
PI4KA	00101000000011	1
TMX4	00001000011010	1
POGZ	00010010000110	1
VPS39	00100100010001	1
CDC42BPA	00011000010010	1
EIF4EBP2	00001000001110	1
FAM13B	00001000110001	1
ZMAT3	01001000000101	1
MCM3AP	01100000000011	1
SMARCC2	00101000000110	1
NPC1	00110000010001	1
ATP13A1	10000010010100	1
KRAS	00100010010001	1
SUGP2	00001000100110	1
PLD2	01000000001011	1
SMC6	10000100010100	1
HPS5	00000000101011	1
BROX	00000001011100	1
NOTCH3	01010000000101	1
SIDT2	10010000000101	1
FAM198B	00100001000011	1
SENP5	00000000111001	1
CLOCK	00001100000101	1
ARID4A	00110000000110	1
PIK3CA	00000100001011	1
blank001	00000100011100	0
IPO9	00010000001011	1
WDR48	00100001010001	1
UNC119B	00101000010100	1
MAP3K5	00000100001110	1
LPGAT1	10010000000110	1
MED14	00010000011010	1
DCBLD1	00001100010010	1
TP53BP1	10000001000110	1
DENND6A	00000010110010	1
TBCD	00000010001011	1
EXOC6B	00000010001110	1
HERC2	00001001010001	1
AQR	00011000000101	1
SLC1A4	00000011010001	1
CENPJ	00000001001011	1
TJP2	00000100110001	1
SCAP	00010000110001	1
EXO1	00000000101110	1
REST	01100000000110	1
BICD2	10000001010100	1
ARIH1	01001000000110	1
ZCCHC11	00001100000011	1
RFX5	00000001110010	1
NUFIP2	01100000010001	1
TCEB3	01010000000011	1
SACS	00000001011010	1
TRO	00001010010001	1
ERI1	01000001000011	1
GTF3C2	00000000111010	1
PDE7B	00001010000011	1
GSE1	00000100100011	1
DIS3L	00100010010010	1
SESN2	01000000100011	1
WDR59	00000010100110	1
RBM26	10000000001101	1
ATM	00000101000101	1
H6PD	10010000010010	1
MPP5	00000110000110	1
ZCCHC6	01000000110001	1
OSBPL5	00000010110001	1
PDS5B	00001001000110	1
