feat	codeword	expressed
THBS1	0000100000001101	1
FLNA	0000110001001000	1
TNC	1000001000000101	1
FBN2	0100000000010101	1
KIAA1199	0000000000101011	1
COL5A1	0000000100001110	1
MALAT1	0000000010000111	1
TLN1	0001000001001100	1
FBN1	1000100000010100	1
SRRM2	0000100100000011	1
TEAD1	1100000000001100	1
IQGAP1	0010110000000001	1
MYH10	0001100001000001	1
PAPPA	0000100100101000	1
NR4A1	0000100010100001	1
LRP1	0000000010101100	1
SLC38A1	0000010001000101	1
SMARCA5	0010000001001001	1
CKAP5	0010010000001100	1
PIEZO1	0000000100100101	1
VCAN	0000001000011100	1
PRRC2B	1000000000011001	1
SON	0010100001000100	1
SLC7A11	0100101000000100	1
GPR107	0000101000010001	1
KIAA1462	0011100000001000	1
notarget001	1100100000000001	0
blank001	1000101000001000	0
ROCK2	0100001000001001	1
SPTBN1	0000100000100110	1
FLNC	0000100010001010	1
PRPF8	0000000110001001	1
IGF2R	0001110000000100	1
FOSB	0011000000000101	1
UBR5	0100100000011000	1
SVEP1	0000100110000100	1
CBX5	0001010000001001	1
PDS5A	1001100100000000	1
NUMA1	0100010100001000	1
PLXNA1	0101000000100100	1
ALPK2	0110000000001010	1
AFAP1	1000000001100100	1
SPTAN1	0000000001010110	1
DOCK7	0010000000110100	1
NOTCH2	0000011010001000	1
DYNC1H1	0110100010000000	1
ITGA2	0001100010010000	1
PRKDC	0000000011010001	1
GTF3C1	0010100000010010	1
THSD4	1000000101000001	1
PTPN14	0000001101000100	1
LUZP1	1010000000000110	1
AMOTL1	0000101011000000	1
MAN1A2	0101000100000001	1
notarget002	1000010000001010	0
blank002	1001000010000100	0
USP9X	0000000101011000	1
CREBBP	0100010010000001	1
KPNA4	1001000000000011	1
EGFR	1000010000100001	1
ZC3H13	1000110010000000	1
TNRC6A	0000100001110000	1
TPR	1010000100001000	1
COL7A1	0010000100010001	1
ASCC3	0100100101000000	1
USP34	0010001000101000	1
CENPF	0010000010011000	1
KIDINS220	0001000000110001	1
SCUBE3	0000001001100001	1
NRIP1	0001101000100000	1
NUP98	0000010000111000	1
ZFC3H1	0001001010000001	1
FAM208B	0101100000000010	1
RAB3B	0001000000011010	1
AFF4	0100000001000011	1
PRKCA	0100010000000110	1
FLNB	0100000011000100	1
CHD8	0000010000010011	1
ANKRD52	0010001000000011	1
MKI67	0100110000100000	1
DIP2C	1010100000100000	1
SSH1	0101000010001000	1
notarget003	0110000000100001	0
blank003	0000111000000010	0
DNAJC13	0001001100001000	1
DSEL	0001000100010100	1
PIK3CA	0000011000100100	1
MED14	0000011100000001	1
HERC2	1000100001000010	1
H6PD	0010001010000100	1
C14orf132	0000010010010100	1
SIPA1L3	1010000010000001	1
C17orf51	0100000001101000	1
NF1	1000000011001000	1
VPS13A	0010101100000000	1
ABCA2	0000001001001010	1
PCNX	0001001000000110	1
NKTR	0110000100000100	1
FYCO1	0000110100010000	1
ATP11A	1001000000101000	1
REV3L	1000010100000100	1
CASC5	0000010101100000	1
AKAP11	0010010010100000	1
CEP250	1010000001010000	1
USP24	1101000001000000	1
AGPS	1000000000110010	1
CBL	0100001110000000	1
RNF169	0011000100100000	1
TMOD2	0010010100000010	1
FASN	0000001100010010	1
notarget004	0110001001000000	0
blank004	1100000100000010	0
UBR2	0100000010010010	1
PHIP	0010011000010000	1
GTF3C4	0100001000100010	1
QSER1	1000001100100000	1
VPS13D	1100001000010000	1
FRY	1000001010000010	1
DIP2B	0100010001010000	1
HIVEP2	1011001000000000	1
DOPEY1	0011000010000010	1
ALMS1	0011010001000000	1
HEATR5B	0010000111000000	1
HIVEP1	0001010000100010	1
ARL10	0000010011000010	1
HELZ2	0001000101000010	1
POLQ	0000001010110000	1
CACNA1A	1000011001000000	1
KIAA2018	0000000110100010	1
LYST	0001010110000000	1
ZKSCAN2	0101011000000000	1
DIEXF	0100000100110000	1
FZD4	0001001001010000	1
SLC5A3	1000000110010000	1
KIAA1147	0010000001100010	1
LMTK2	0111000000010000	1
STARD9	0001000011100000	1
BRCA2	1001010000010000	1
notarget005	1110010000000000	0
blank005	1100000010100000	0
