feat	codeword	expressed
THBS1	0000111000000010	1
FLNA	0000101000010001	1
TNC	1000101000001000	1
FBN2	0010101100000000	1
KIAA1199	0000110100010000	1
COL5A1	0000010011000010	1
MALAT1	0000011010001000	1
TLN1	0000100000100110	1
FBN1	0010010100000010	1
SRRM2	0010001000000011	1
TEAD1	0010011000010000	1
IQGAP1	0000001100010010	1
MYH10	0010100000010010	1
PAPPA	0001010000100010	1
NR4A1	0001101000100000	1
LRP1	0000011000100100	1
SLC38A1	1000100001000010	1
SMARCA5	0000011100000001	1
CKAP5	0100001000100010	1
PIEZO1	1000110010000000	1
VCAN	0000101011000000	1
PRRC2B	0101011000000000	1
SON	1000010000001010	1
SLC7A11	1000001010000010	1
GPR107	0100010000000110	1
KIAA1462	0101100000000010	1
notarget001	0000100010001010	1
blank001	0100110000100000	1
ROCK2	0100101000000100	1
SPTBN1	0001110000000100	1
FLNC	0001001000000110	1
PRPF8	0000010000010011	1
IGF2R	0000110001001000	1
FOSB	1000011001000000	1
UBR5	0000100100000011	1
SVEP1	0000001001001010	1
CBX5	0010110000000001	1
PDS5A	1100100000000001	1
NUMA1	0000001001100001	1
PLXNA1	0001000000011010	1
ALPK2	0100010001010000	1
AFAP1	0000001010110000	1
SPTAN1	0011100000001000	1
DOCK7	0110000000001010	1
NOTCH2	0000000010000111	1
DYNC1H1	1000100000010100	1
ITGA2	1010000000000110	1
PRKDC	0001100001000001	1
GTF3C1	0010010000001100	1
THSD4	0000010001000101	1
PTPN14	0100100101000000	1
LUZP1	0000100010100001	1
AMOTL1	1000001100100000	1
MAN1A2	1010100000100000	1
notarget002	1001100100000000	1
blank002	1100000100000010	1
USP9X	0000100001110000	1
CREBBP	0100001000001001	1
KPNA4	0110001001000000	1
EGFR	0001001001010000	1
ZC3H13	0001001100001000	1
TNRC6A	0001010110000000	1
TPR	0000010010010100	1
COL7A1	0001010000001001	1
ASCC3	0100001110000000	1
USP34	0000000000101011	1
CENPF	0010001010000100	1
KIDINS220	0000010000111000	1
SCUBE3	1000010100000100	1
NRIP1	0000000001010110	1
NUP98	1001000000000011	1
ZFC3H1	0000000110100010	1
FAM208B	0100000001000011	1
RAB3B	0001000101000010	1
AFF4	1000000000110010	1
PRKCA	0010001000101000	1
FLNB	1000001000000101	1
CHD8	1000010000100001	1
ANKRD52	0100100000011000	1
MKI67	0000001000011100	1
DIP2C	0110100010000000	1
SSH1	0000100000001101	1
notarget003	0010010010100000	1
blank003	1110010000000000	1
DNAJC13	0000100110000100	1
DSEL	0100000010010010	1
PIK3CA	0000010101100000	1
MED14	1001010000010000	1
HERC2	0100010010000001	1
H6PD	0011000010000010	1
C14orf132	0000000100001110	1
SIPA1L3	0000001101000100	1
C17orf51	0011010001000000	1
NF1	0001001010000001	1
VPS13A	1100001000010000	1
ABCA2	1011001000000000	1
PCNX	0100010100001000	1
NKTR	0010100001000100	1
FYCO1	0001100010010000	1
ATP11A	0010000001100010	1
REV3L	0000100100101000	1
CASC5	0100000100110000	1
AKAP11	0101000000100100	1
CEP250	0010000001001001	1
USP24	0000000010101100	1
AGPS	1000000000011001	1
CBL	1010000001010000	1
RNF169	0001000000110001	1
TMOD2	0001000001001100	1
FASN	0000000011010001	1
notarget004	1001000010000100	1
blank004	0010000010011000	1
UBR2	0110000000100001	1
PHIP	1000000101000001	1
GTF3C4	0000000101011000	1
QSER1	1001000000101000	1
VPS13D	0010000111000000	1
FRY	0001000011100000	1
DIP2B	0101000010001000	1
HIVEP2	1101000001000000	1
DOPEY1	1000000011001000	1
ALMS1	0110000100000100	1
HEATR5B	0011000100100000	1
HIVEP1	0010000100010001	1
ARL10	0101000100000001	1
HELZ2	0000000110001001	1
POLQ	1010000010000001	1
CACNA1A	1100000000001100	1
KIAA2018	0100000000010101	1
LYST	1000000110010000	1
ZKSCAN2	0011000000000101	1
DIEXF	0001000100010100	1
FZD4	1010000100001000	1
SLC5A3	0111000000010000	1
KIAA1147	1100000010100000	1
LMTK2	0100000001101000	1
STARD9	0010000000110100	1
BRCA2	0000000100100101	1
notarget005	1000000001100100	1
blank005	0100000011000100	0
