Gene	Codeword
TSPYL4	01100000001100
ADAMTS15	00000111000100
ZMYND8	01010000100100
ZSWIM6	00010000101001
ZHX3	00100100100010
ARFGEF2	01001010000010
ELF4	00100110000100
ZSCAN29	00001011010000
SENP1	00000101011000
TDRD7	01000100100100
TBC1D9	01000000101010
CRY2	00000001101010
SHC4	01000110000010
FAM168A	01011000000001
ABHD13	01101000000010
SLC30A1	01011000010000
DHX57	00010000101100
AP4E1	00100010001100
ZNF480	10110000000100
CEP170B	00011000100010
RNF169	10010000001010
USPL1	10000000101001
ANKRD50	00000100111000
APH1B	01000011000100
TMOD2	01000001100001
LYRM7	00000110011000
PHRF1	01100100000001
KAT6A	00000011100100
LIG3	00010001110000
KIAA1551	01010000001001
HPS4	00001011000100
LPIN1	01001000100001
C11orf95	00110000001001
WASH5P	10100000110000
BRD1	01001000001100
INTS2	01100001000001
MEGF9	10010000001100
C2CD3	00010010001001
FNIP1	01101000010000
FASN	00011001000001
RRP12	01100000110000
TCF20	00011000001001
BAHD1	11000000100100
CEP170P1	10000100011000
blank006	00010001100010
SLC12A2	00000001111000
KIF16B	10100010000010
USP37	00111000000010
FBXO30	01100000100100
USP6NL	00010010011000
VANGL1	10000110000010
KIAA2026	00100010100100
AHCTF1P1	10000001100001
KCNMA1	01000101000100
TGS1	01110000000010
NOM1	10110000000001
SLC12A7	00010010001010
UBR2	10010001000010
TANGO6	10001001000100
WDR60	10001010000001
FOXJ2	00000101110000
RMND5A	01100010010000
KDM1B	01000001100010
CSPG4	01011000000010
INPP4A	00011010000010
ATP9A	10000010011000
DZIP3	00100000111000
CAPN15	10001100000010
ITGA11	01000000101001
CYFIP2	10001010000010
SUSD5	01001000001001
ZNF654	11001000000001
ZBTB41	00001110000010
RWDD2A	00001001001001
NCOA3	01000010100010
MED23	00001000101100
CSTF2T	00001000101001
SIPA1L2	00100010001010
CYP2U1	00011010000100
HECTD2	10100100000001
SMAD9	00101010000010
HIP1	01010010000001
CDC25A	11010000000001
SERTAD2	00011100000010
NPAT	01010010000010
DPYD	00011000011000
KIAA0753	10010000100010
VPS13C	00010101000100
ZNF592	00111000000001
CLUH	11000010010000
WDR55	01001000011000
ZNF71	11000001000100
CRYBG3	11000000001001
FCHSD2	10010010000010
EFNB2	10100001000010
TMEM260	00110001000100
TTF2	10010100000100
NCKAP5L	10010010000100
notarget003	00101100000100
ZNF652	10000001011000
C10orf118	10001001000001
DGKQ	00000111010000
MKL2	10000001001100
CD109	00001001001010
DIO2	00010011000010
KIF15	00110100000100
GTF3C4	00000011001001
ZNF687	00101000100100
IQSEC1	00011001000100
TRIM14	00011010010000
PIK3R1	11000000011000
RHOBTB2	01100100000100
ZNF776	00100100110000
CTPS2	00101010010000
PRMT10	01100001010000
LTBP2	01001100000010
SLC9A6	10101000000010
TBC1D13	00010001001100
QTRTD1	00001011000001
TRIM35	01101000000001
SIN3A	01000100011000
ZBTB6	00000101100010
QSER1	00100010100001
FEM1C	01000000111000
PLEKHG3	00001100001100
FBXO45	00100100001001
GPR180	11010000000010
SPICE1	00010000101010
ANKRD32	00010011000100
SNIP1	10010001000001
NSD1	00110000011000
GIGYF1	00010001001001
DTX3L	01010000001100
CCSAP	00110100000001
ADCY7	10011000000001
blank007	00101000001010
MSH3	10100010010000
PHF2	01100000100001
VTI1A	00100001110000
AP1G2	11000000001100
ANPEP	00101000001100
TMEM104	00100001001010
DOCK5	10000101000100
MAP3K6	00010001011000
TTI1	00110000100010
ASAP3	00100011000100
TRRAP	01010001000001
CEP41	00001010100100
KIF18B	01000001011000
LMBRD2	00000011100001
ZDHHC21	00010110000010
CNTLN	01100010000010
ERCC6L	00111000000100
VPS13D	00010100100100
ITPR1	10000110010000
POLR3A	00000101100100
FAM214A	01100001000010
FRY	01010100000010
ZFAT	00011001010000
FAN1	00110010000100
SOWAHC	00101010000001
RBM12B	00001110010000
MCM9	11000000110000
KIF14	00001010110000
GPD1L	10010000001001
ZMYM3	00011000110000
SMCR8	01001100010000
GM2A	10100000100010
TTPAL	01010001000100
OFD1	11001000000010
LNPEP	01100010000001
TSTD2	00101100000001
NCOA1	01000101000001
C7orf41	00100010011000
DIP2A	00000101001001
ZNF248	10001100000100
PIGM	01000011000010
FAM46A	00101000110000
ZNF697	11000100000010
NCOA6	11000001000001
FAM212B	00100100100001
CEP135	00001101000100
WDR5B	00010100001001
ERMP1	10101000010000
ZSCAN30	10000010001100
SH2D5	10000001100100
ZNF275	10000011000100
DIP2B	00110000100001
CEP85	01000010110000
UNC13B	10001010010000
ALPK1	00100101010000
TRAPPC9	01000101010000
MTF1	00110001000001
GOLGA8A	01000100001010
WRN	00001001001100
ZBED1	00011100000100
AGTPBP1	00001011000010
ZZEF1	10100001000100
UBOX5	01000000101100
AKAP13	00001001100010
C4orf21	00000100101100
RP11-159D12.9	10010100000010
NOTCH1	10001000001010
FAM46C	10000010100010
AMPD3	00000011011000
SPAST	00001001100001
TBC1D12	00010100100001
FGD1	00011001000010
ZNF614	10100000001100
FAM83G	10100100010000
FAM126B	10000010100100
RAP2B	01010010000100
ZNF407	10001001010000
UTP20	00100001011000
RELN	10001010000100
ORC2	10001001000010
GEMIN4	11010000010000
ZFP28	00100001100010
IL17RA	00010110000100
PAXIP1	10001000100001
CNTRL	00001010001001
HIVEP2	10010010000001
NEDD9	00010010100010
PIK3R3	00001001100100
TMEM246	01000100110000
FAM171A1	10110000010000
blank008	10110000000010
SLC24A1	01000010011000
SLC7A6OS	11000010000001
ZBTB34	00000011001100
ULK4	00101100000010
ARHGAP20	11000000100010
CCDC93	01000011010000
LPCAT2	10000000111000
KIF7	00000111000010
RAD54L2	01100000001001
DHX37	00001010001010
ZBTB11	10100000001001
DNAH5	00000110100010
ARHGEF6	01000011000001
RCAN3	00001100011000
DOPEY1	00100010100010
FAM217B	10000110000001
BCL9	11010000000100
IQCE	10001000001001
ALMS1	01000110000100
NEK1	00001101010000
CNTN3	01000001100100
RFX7	00100100001010
NUAK1	10010100010000
NAPEPLD	10000101010000
POLR3B	10010000100100
B3GALTL	01000001001010
HAS2	10001100010000
RAP1GAP2	11000001000010
CIT	00100101000001
SOX11	00101100010000
MTHFR	01001001000010
DUSP16	00000011110000
SLC9A5	01000010001100
HEATR5B	00110010000010
VCPIP1	00001100001001
JARID2	01100000001010
MEX3A	00010000111000
GPR155	00010101000001
ZNF526	01000001001001
TAB3	10000100100001
FLRT3	10001000011000
ZNF436	01001000110000
WDR7	10010010010000
WDR81	11000010000100
SLC41A2	11000000001010
WDR37	01001001010000
NLRX1	00101000100001
BRIP1	01000110000001
PHKA2	00010100011000
POLR1A	00100011000010
ZNF445	00110010000001
UBE2O	00000100101001
PTGFR	00011000100001
GMEB2	00010001100001
CCNF	00111000010000
OTUD3	01000010100001
CACNA1C	01110000000001
BRPF1	00100001100100
ARID2	00101001000001
BLM	01001100000001
PDE10A	00001100001010
AGL	01101000000100
TRPS1	00001100100001
RASAL2	01000111000000
ENDOD1	01001110000000
GREM2	01100110000000
ANKRD26	01011000100000
NHLRC2	11001010000000
ZBTB5	00010011100000
GPRIN1	01001101000000
TCEANC2	00100110001000
notarget004	00001100101000
MAGI3	10100001001000
